subyekt;nomer regiona;y1;y2;y3;y4;y5;y;god;x1
Karachaevo-Cherkesskaya Respublika;41;32.7;44986,00;0.2;37.8;28,00;10581.1;2017,00;19025,00
Respublika Severnaya Osetiya-Alaniya;42;39.1;44927,00;0.5;37.2;44948,00;11403.3;2017,00;19025,00
Chechenskaya Respublika ;43;32.8;44958,00;0,00;43.3;45129,00;10618.8;2017,00;19025,00
Ctavropolskiy kray ;44;31.2;45079,00;45170,00;34.4;45198,00;12608.7;2017,00;19025,00
Respublika Bashkortostan ;45;45077,00;3,00;45047,00;40.2;45161,00;15725.8;2017,00;19025,00
Respublika Mariy El ;46;34.4;45108,00;45170,00;35.8;44983,00;10330.1;2017,00;19025,00
Respublika Mordoviya ;47;39.6;45139,00;45139,00;34.9;45190,00;11257.4;2017,00;19025,00
Respublika Tatarstan ;48;45194,00;45141,00;45108,00;44.1;45070,00;15990.8;2017,00;19025,00
Udmurtskaya Respublika ;49;45195,00;4,00;45170,00;41.8;45041,00;16086.6;2017,00;19025,00
Chuvashskaya Respublika ;50;36.5;45140,00;45047,00;33.7;45071,00;9730,00;2017,00;19025,00
Permskiy kray ;51;45166,00;45079,00;45139,00;40.5;45011,00;15775.6;2017,00;19025,00
Kirovskaya oblast ;52;45138,00;45049,00;45079,00;37.5;45131,00;14010.6;2017,00;19025,00
Hizhegorodskaya oblast ;53;29.2;44929,00;44958,00;33.2;33.3;16775.3;2017,00;19025,00
Orenburgskaya oblast ;54;45167,00;45018,00;44986,00;44.2;45007,00;14369,00;2017,00;19025,00
Penzenskaya oblast ;55;34.9;45051,00;45139,00;36.5;45006,00;13435.8;2017,00;19025,00
Camarskaya oblast ;56;45138,00;45109,00;45139,00;36,00;45165,00;15056.6;2017,00;19025,00
Caratovskaya oblast ;57;42.3;45078,00;44986,00;45197,00;45194,00;11047.7;2017,00;19025,00
Ulyanovskaya oblast ;58;36.9;44928,00;44927,00;32.9;27,00;12050.5;2017,00;19025,00
Kurganskaya oblast ;59;30.2;0.6;45078,00;47.4;44977,00;12623.1;2017,00;19025,00
Cverdlovskaya oblast ;60;31,00;44989,00;45078,00;33.3;45167,00;17630.7;2017,00;19025,00
Tyumenskaya oblast ;61;45045,00;45017,00;45047,00;41.4;45011,00;19316.5;2017,00;19025,00
  Khanty-Mansiyskiy avt.okrug ;62;45040,00;45108,00;45047,00;45.9;45072,00;23009.5;2017,00;19025,00
  Yamalo-Nenetskiy avt. okrug ;63;44957,00;44927,00;45171,00;45137,00;34.2;20416.8;2017,00;19025,00
Chelyabinskaya oblast ;64;45046,00;45109,00;45017,00;37.1;45044,00;14430.8;2017,00;19025,00
