subyekt,nomer subyekta,y1,y2,y3,y4,y5,y,god,x
Krasnodarskiy kray ,23,35.58,3.1,1.7,33.4,26.2,15457.58,2018,4.27
Astrakhanskaya oblast ,30,34.18,2.63,1.85,38.7,22.68,16185.95,2018,4.27
Bolgogradskaya oblast ,34,33.58,1.5,1.58,38.15,25.2,14393.98,2018,4.27
Rostovskaya oblast ,61,32.23,5.53,2.25,30.05,29.95,16107.53,2018,4.27
g. Sevastopol ,92,43.45,0.9,1.78,31.3,22.55,16482.2,2018,4.27
Respublika Dagestan ,5,53.88,0.33,0.53,31.05,14.18,12649.2,2018,4.27
Respublika Ingushetiya ,6,59.28,1.1,0,25.18,14.45,8690.1,2018,4.27
Kabardino-Balkarskaya Respublika ,7,43.13,0.58,0.35,36.23,19.73,11728.35,2018,4.27
Karachaevo-Cherkesskaya Respublika ,9,30.78,2.18,0.2,39.45,27.43,11437.43,2018,4.27
Respublika Severnaya Osetiya-Alaniya ,15,36.6,1.98,0.55,38.1,22.78,12329.15,2018,4.27
Chechenskaya Respublika ,20,33.1,1.28,0,45.08,20.58,10677.75,2018,4.27
Stavropolskiy kray ,26,27.93,3.3,1.38,32.75,34.65,12767.75,2018,4.27
Respublika Bashkortostan ,2,31.85,3.08,1.83,36.75,26.53,16336.25,2018,4.27
Respublika Mariy El ,12,33.5,3.3,1.58,35.38,26.28,10812.2,2018,4.27
Respublika Mordoviya ,13,41.15,1.43,1.45,33.88,22.15,10955.7,2018,4.27
Respublika Tatarstan ,16,22.05,4.15,1.48,47.78,24.55,18998.6,2018,4.27
Udmurtskaya Respublika ,18,28.3,3.95,2.15,37.9,27.7,15711.23,2018,4.27
Chuvashskaya Respublika ,21,34.65,2.83,1.65,33.7,27.15,10703.75,2018,4.27
Permskiy kray ,59,28.58,2.88,1.93,38.88,27.73,15525.98,2018,4.27
Kirovskaya oblast ,43,31.3,3.53,2.25,36.53,26.4,14616.68,2018,4.27
Nizhegorodskaya oblast ,52,27.73,3.78,1.23,39.18,28.08,17793.5,2018,4.27
Orenburgskaya oblast ,56,32,3.83,1.2,38.1,24.93,13216.7,2018,4.27
Penzenskaya oblast ,58,35.6,3,1.88,33.73,25.83,12181.95,2018,4.27
Samarskaya oblast ,63,29.53,2.45,1.68,37.75,28.58,16356.85,2018,4.27
Saratovskaya oblast ,64,39,1.78,1.33,31.8,26.1,11866.78,2018,4.27
Ulyanovskaya oblast ,73,35.75,1.15,1.05,29.6,32.45,12756.25,2018,4.27
Kurganskaya oblast ,45,33.03,1.6,1.68,40.75,22.93,11880.75,2018,4.27
Sverdlovskaya oblast ,66,29.78,5.3,1.63,34.45,28.88,17253.83,2018,4.27
Tyumenskaya oblast ,72,29.9,2.4,1.65,38.83,27.23,19261.33,2018,4.27
Khanty-Mansiyskiy avt. okrug ,86,23.2,3.6,1.58,44,27.63,23565.63,2018,4.27
Yamalo-Nenetskiy avt. okrug ,89,34.73,0.68,3.23,29.45,31.93,21459.55,2018,4.27
Chelyabinskaya oblast ,74,29.5,3.5,1.85,34.93,30.23,15108.85,2018,4.27
Respublika Altay ,4,29.98,1.08,1.2,42.65,25.13,11396.83,2018,4.27
Respublika Buryatiya ,3,32.93,3.63,1.03,37.9,24.53,12439.33,2018,4.27
Respublika Tyva ,17,35.43,1.73,1.38,39.15,22.35,9555.13,2018,4.27
Respublika Khakasiya ,19,31.9,1.6,1.85,40.63,24.05,13830.7,2018,4.27
Altayskiy kray ,22,32.5,1.2,1.53,39.93,24.85,12698.75,2018,4.27
Zabaykalskiy kray ,75,33.2,1.98,1.68,38.43,24.7,14566.83,2018,4.27
Krasnoyarskiy kray ,24,29.48,2.6,1.8,37.18,28.98,18228.58,2018,4.27
Irkutskaya oblast ,38,33,1.38,1.25,38.68,25.68,13288.65,2018,4.27
Kemerovskaya oblast ,42,32.3,1.23,1.58,40,24.9,13414.18,2018,4.27
Novosibirskaya oblast ,54,35.75,2.18,2.78,40.55,18.8,13996.15,2018,4.27
Omskaya oblast ,55,30.7,2.5,1.38,36.38,29.05,14365.63,2018,4.27
Tomskaya oblast ,70,29.85,3.18,1.4,36.68,28.93,15580.88,2018,4.27
Respublika Sakha(Yakutiya) ,14,31.63,3.18,1.25,33.85,30.13,22729.45,2018,4.27
Kamchatskiy kray ,41,27.28,2.2,1.75,38.45,30.33,28382.88,2018,4.27
Primorskiy kray ,25,27.55,3.58,1.8,39.95,27.15,21644.33,2018,4.27
Khabarovskiy kray ,27,26.85,3.33,1.65,34.88,33.3,21615.93,2018,4.27
Amurskaya oblast ,28,27.25,0.95,1.53,41.78,28.55,16137.55,2018,4.27
Magadanskaya oblast ,49,36.5,2.05,0.95,30.13,30.38,25472.03,2018,4.27
Sakhalinskaya oblast ,65,27.45,0.9,1.48,45.7,24.48,28502.13,2018,4.27
Evreyskaya avt. oblast ,79,29.93,1.5,2.7,43.35,22.53,14882.3,2018,4.27
Chukotskiy avt. okrug ,87,47.45,0.6,2.08,25.8,24.05,23432.88,2018,4.27
Belgorodskaya oblast,31,31.65,2.4,1.57,40.97,23.4,17978.35,2019,3.05
Bryanskaya oblast,32,38.48,1.7,1.88,33.34,24.6,13772.39,2019,3.05
Vladimirskaya oblast,33,36.02,1.28,1.07,35.3,26.32,15862.78,2019,3.05
Voronezhskaya oblast,34,35.11,0.88,1.29,33.74,28.97,14671.82,2019,3.05
Ivanovskaya oblast,37,34.22,1.67,2.78,35.61,25.72,17221.03,2019,3.05
Kaluzhskaya oblast,40,32.73,2.8,1.38,38.06,25.03,18075.9,2019,3.05
Kostromskaya oblast,44,34.58,2.07,2.36,36.01,25,15181.18,2019,3.05
Kurskaya oblast,46,34.6,1.99,1.66,39.81,21.94,15472.33,2019,3.05
